investor_name,investor_permalink,country_code,state_code,region,city,investment_count,funding_round_types,num_portfolio_companies
Thomas Hesse,/person/thomas-hesse,,,,,4,seed,4
Alison Rosenthal,/person/alison-rosenthal,,,,,4,seed|venture,4
Lake Street Capital,/organization/lake-street-capital,USA,CA,SF Bay Area,San Francisco,4,venture,4
Dirk Herzbach,/person/dirk-herzbach,DEU,,,,4,seed|venture,3
Greenhill SAVP,/organization/greenhill-savp-2,,,,,4,venture,4
L&S Venture Capital,/organization/l-s-venture-capital,,,,,4,seed|venture,3
HBO,/organization/hbo,USA,NY,New York City,New York,4,undisclosed|venture,3
Itzhak Fisher,/person/itzhak-fisher,,,,,4,seed|undisclosed,4
Pinetree Capital,/organization/pinetree-capital,CAN,ON,Toronto,Toronto,4,venture,3
Godard Abel,/person/godard-abel,USA,,,Palo Alto,4,angel|seed|venture,3
Hiro Mashita,/person/hiro-mashita,,,,,4,seed|venture,4
Josh Resnick,/person/josh-resnick,,,,,4,angel|seed|venture,3
Grey Corp GmbH,/organization/grey-corp-gmbh,,,,,4,seed|venture,3
Austin Ligon,/person/austin-ligon,,,,,4,venture,2
Alexander Bruehl,/person/alexander-brhl,,,,,4,seed|venture,3
Decheng Capital,/organization/decheng-capital,CHN,23,Shanghai,Shanghai,4,venture,3
Dow Jones & Co.,/organization/dow-jones,,,,,4,venture,3
Khazanah Nasional Berhad,/organization/khazanah-nasional-berhad,MYS,14,Kuala Lumpur,Kuala Lumpur,4,venture,4
Wences Casares,/person/wences-casares,USA,,,Palo Alto,4,seed|venture,4
Eclosion SA,/organization/eclosion-sa,CHE,7,Geneva,Geneva,4,venture,1
Klaus Lovgreen,/person/klaus-lovgreen,,,,,4,angel|seed,3
Craig Shapiro,/person/craig-shapiro,,,,,4,seed|venture,4
Dave Pell,/person/dave-pell,USA,,,San Francisco,4,angel|seed|venture,4
Amit Gupta,/person/amit-gupta,,,,,4,angel|seed,4
Scott Crosby,/person/scott-crosby,,,,,4,angel|seed,3
IBIS Capital,/organization/ibis-capital-ltd,GBR,H9,London,London,4,seed|venture,4
Fisher Capital,/organization/fisher-capital,USA,CO,Denver,Englewood,4,private_equity|venture,2
Fritz Demopoulos,/person/fritz-demopoulos,,,,,4,venture,3
Hanse Ventures,/organization/hanse-ventures,DEU,13,DEU - Other,Deutsch,4,undisclosed|venture,3
Mark Kvamme,/person/mark-kvamme,USA,,,Columbus,4,seed|venture,2
Abell Foundation,/organization/abell-foundation,USA,MD,Baltimore,Baltimore,4,angel|private_equity|seed,4
Ron Johnson,/person/ron-johnson-4,USA,,,Atherton,4,seed|venture,3
Costarter,/organization/costarter,CAN,AB,Thunder Bay,Thunder Bay,4,seed,4
Cedar Grove Investments,/organization/cedar-grove-investments,USA,WA,Seattle,Seattle,4,venture,4
Endeavor,/organization/endeavor,USA,NY,New York City,New York,4,venture,4
Endeavor Catalyst,/organization/endeavor-catalyst,USA,CA,SF Bay Area,San Francisco,4,venture,4
East River Ventures,/organization/east-river-ventures,USA,NY,New York City,New York,4,venture,3
EXA Ventures,/organization/exa-ventures,,,,,4,venture,3
Brian NeSmith,/person/brian-nesmith,,,,,4,seed|venture,4
Max Ventilla,/person/max-ventilla,USA,,,San Francisco,4,convertible_note|seed|venture,3
Anthos Capital,/organization/anthos-capital,USA,CA,SF Bay Area,Menlo Park,4,seed|venture,4
RSL Ventures,/organization/rsl-ventures,,,,,4,convertible_note|seed|venture,4
Automattic,/organization/automattic,USA,CA,SF Bay Area,San Francisco,4,angel|seed|venture,4
MaRS Cleantech Fund,/organization/mars-cleantech-fund,CAN,ON,Toronto,Toronto,4,seed|undisclosed,4
Alan Braverman,/person/alan-braverman,,,,,4,convertible_note|seed,4
Alp Saul,/person/alp-saul,,,,,4,seed|venture,3
Shinsei Bank,/organization/shinsei-bank,JPN,40,Tokyo,Tokyo,4,venture,3
AMMA Private Investment,/organization/amma-private-investment,GBR,L8,Liverpool,Southport,4,private_equity|venture,1
Tim Fong,/person/tim-fong,,,,,4,private_equity|seed|undisclosed,2
Aydin Senkut,/person/aydin-senkut,USA,,,Palo Alto,4,angel|venture,4
FIH Mobile,/organization/fih-mobile,,,,,4,seed|venture,4
Asia Venture Group,/organization/asia-venture-group,,,,,4,seed|venture,4
Antares Capital,/organization/antares-capital,,,,,4,undisclosed|venture,4
Bellingham Angel Organization,/organization/bellingham-angel-organization,USA,DC,"Washington, D.C.",Washington,4,angel|seed|venture,4
Thomas Layton,/person/thomas-layton,,,,,4,seed|venture,3
Konstantin Othmer,/person/konstantin-othmer,USA,,,Mountain View,4,seed|venture,4
Jason Henrichs,/person/jason-henrichs,USA,,,Chicago,4,seed|venture,4
FZKPT,/organization/fzkpt,POL,77,Krakow,Cracow,4,seed,4
Alliance Trust,/organization/alliance-trust,GBR,U3,Dundee,Dundee,4,venture,3
Ellerston Capital,/organization/ellerston-capital,,,,,4,seed|venture,3
Altshuler Shaham,/organization/altshuler-shaham,ISR,5,Tel Aviv,Tel Aviv,4,undisclosed|venture,3
Asian Development Bank,/organization/asian-development-bank,PHL,,,,4,debt_financing|private_equity|venture,4
European Media Holding (EMH),/organization/european-media-holding-ag,DEU,2,Munich,Munich,4,seed|undisclosed,4
Alex Krug,/person/alex-krug,,,,,4,seed|venture,4
Michael Barrett,/person/michael-barrett,,,,,4,angel|seed|venture,4
Veronis Suhler Stevenson,/organization/veronis-suhler-stevenson,USA,NY,New York City,New York,4,debt_financing|private_equity|undisclosed,4
EchoVC Partners,/organization/echovc-partners,,,,,4,seed|venture,4
Centurion Holdings,/organization/centurion-holdings,USA,NY,New York City,New York,4,angel|venture,3
Jon Kiehnau,/person/jon-kiehnau,USA,,,Seattle,4,seed|venture,3
Gary Ginsberg,/person/gary-ginsberg,,,,,4,seed|venture,2
Boston Medical Investors,/organization/boston-medical-investors,USA,MA,Boston,Boston,4,venture,2
Advantage Early Growth,/organization/advantage-early-growth,GBR,M9,GBR - Other,Tamworth,4,seed|undisclosed|venture,3
Swarraton Partners,/organization/swarraton-partners,GBR,H9,London,London,4,venture,4
Jay Eum,/person/jay-h-eum,USA,,,San Francisco,4,angel|seed,4
Bear Ventures,/organization/bear-ventures,USA,NY,New York City,New York,4,undisclosed|venture,2
Ludgate Environmental Fund,/organization/ludgate-environmental-fund,GBR,H2,Kersey,Kersey,4,undisclosed|venture,4
Laurence Marlor,/person/laurence-marlor,,,,,4,seed,4
MidOcean Partners,/organization/midocean-partners,USA,NY,New York City,New York,4,undisclosed|venture,4
iSteps App Ventures,/organization/isteps-app-ventures,DEU,7,Cologne,Cologne,4,angel|undisclosed|venture,4
Michael Dell,/person/michael-dell,USA,,,Austin,4,venture,4
AT Impf,/organization/at-impf,,,,,4,undisclosed|venture,2
Malin Corporation,/organization/malin-corporation,IRL,7,Dublin,Dublin,4,venture,4
Trendlines Group,/organization/trendlines-group,ISR,3,ISR - Other,Misgav,4,seed|venture,4
NSBI Venture Capital,/organization/nsbi-venture-capital,CAN,NS,,,4,venture,4
InverSur Capital,/organization/inversur-capital,CHL,12,Santiago,Santiago,4,seed|venture,4
Ohio Tech Angel Fund III,/organization/ohio-tech-angel-fund-iii,,,,,4,venture,4
Adrian Hanauer,/person/adrian-hanauer,,,,,4,angel|seed|venture,3
Greg Slyngstad,/person/greg-slyngstad,,,,,4,seed,3
Grupo ItNet,/organization/grupo-itnet,ESP,56,Barcelona,Barcelona,4,angel|seed|venture,4
Slaight Communications,/organization/slaight-communnications,CAN,ON,Toronto,Toronto,4,seed|venture,3
The Viking Club,/organization/the-viking-club,,,,,4,venture,4
TÜBİTAK,/organization/tbtak,TUR,68,Ankara,Ankara,4,grant|seed,4
Golden Gate Capital,/organization/golden-gate-capital,USA,CA,SF Bay Area,San Francisco,4,undisclosed|venture,4
Crystal Internet Venture Funds,/organization/crystal-internet-venture-funds,USA,OH,Cleveland,Cleveland,4,venture,3
Banco Santander,/organization/banco-santander,ESP,29,Madrid,Madrid,4,post_ipo_equity|private_equity|seed|venture,4
John Cunningham,/person/john-cunningham,,,,,4,angel|venture,2
Signal Lake,/organization/signal-lake,USA,CT,Hartford,Westport,4,venture,3
Lance White,/person/lance-white,,,,,4,seed,4
Zobito,/organization/zobito,,,,,4,undisclosed|venture,3
Ananda Ventures (Social Venture Fund),/organization/ananda-ventures-gmbh-social-venture-fund,DEU,2,Munich,Munich,4,seed|undisclosed|venture,4
Philip Purcell,/person/phil-purcell,,,,,4,seed|venture,2
TIAA-CREF,/organization/tiaa-cref,USA,NY,New York City,New York,4,venture,4
Acartha Group,/organization/acartha-group,,,,,4,venture,3
NewVa Capital Partners,/organization/newva-capital-partners,USA,VA,Roanoke,Radford,4,venture,3
David Hauser,/person/david-hauser,,,,,4,angel|seed,4
Paddy Holahan,/person/paddy-holahan,,,,,4,angel|seed|venture,4
BancBoston Capital,/organization/bancboston-capital,USA,MA,Boston,Boston,4,venture,4
Banyan Mezzanine Funds,/organization/banyan-mezzanine-funds,USA,FL,Miami,Miami,4,debt_financing|undisclosed|venture,4
Acacia Venture Partners,/organization/acacia-venture-partners,USA,CA,SF Bay Area,San Francisco,4,venture,3
